,gift_id,gift_type,gift_category,gift_cluster,lsg_1,lsg_2,lsg_3,lsg_4,lsg_5,lsg_6,is_discounted,price
0,11156,61,534,3942,3377,5221,504,1912,10,554,0,175.54
1,11157,61,534,3942,3377,5221,504,1912,10,554,1,95.8
2,15689,584,262,0,5290,1579,3203,1912,9,1578,1,107.35
3,11155,61,534,3942,3377,5221,504,1912,10,554,0,172.9
4,11158,61,534,3942,3377,5221,504,1912,9,554,1,77.72
5,15686,584,262,0,5290,1579,3203,1912,9,1578,1,142.84
6,15690,584,262,0,5290,1579,3203,1912,9,1578,1,78.71
7,15685,584,262,0,5290,1579,3203,1912,9,1578,0,166.81
8,11159,61,534,3942,3377,5221,504,1912,10,554,0,72.72
9,15688,584,262,0,5290,1579,3203,1912,9,1578,1,107.12
10,15687,584,262,0,5290,1579,3203,1912,9,1578,1,108.22
11,19007,1136,890,0,8143,3350,6404,1912,9,1428,0,123.55
12,519,168,403,1846,3799,3358,1230,51,9,327,0,176.69
13,522,168,403,1846,3799,3358,1230,51,9,327,0,95.49
14,524,168,403,1846,3799,3358,1230,51,9,327,0,171.63
15,523,168,403,1846,3799,3358,1230,51,9,327,0,155.15
16,521,168,403,1846,3799,3358,1230,51,9,327,0,207.52
17,520,168,403,1846,3799,3358,1230,51,9,327,0,192.86
18,13201,1083,886,0,7638,6001,5491,1912,9,657,0,37.83
19,10615,1131,822,0,8100,6223,6381,1912,9,1836,0,67.13
20,2004,18,614,0,3488,4702,804,1912,9,1884,0,161.89
21,10613,1131,822,0,8100,6223,6381,1912,9,1836,0,62.23
22,10951,1050,886,0,7594,4448,5863,1912,9,688,0,128.74
23,2006,18,614,0,3488,4702,804,1912,9,1884,0,172.26
24,10616,1131,822,0,8100,6223,6381,1912,9,1836,0,63.98
25,10618,1131,822,0,8100,6223,6381,1912,9,1836,0,59.34
26,19942,497,822,0,4978,5255,2821,1912,9,150,1,123.64
27,19941,497,822,0,4978,5255,2821,1912,9,150,0,126.86
28,13199,1083,886,0,7638,6001,5491,1912,9,657,0,29.59
29,2005,18,614,0,3488,4702,804,1912,9,1884,0,207.13
30,13200,1083,886,0,7638,6001,5491,1912,9,657,0,38.18
31,2007,18,614,0,3488,4702,804,1912,9,1884,1,80.13
32,2008,18,614,0,3488,4702,804,1912,9,1884,0,151.19
33,10614,1131,822,0,8100,6223,6381,1912,9,1836,0,62.68
